2025-03-08 23:48:31,358 - INFO - 
Virtual ports created!
Simulator using: /tmp/vgps1
Receiver should use: /tmp/vgps2

2025-03-08 23:48:31,358 - INFO - Connected to /tmp/vgps1
2025-03-08 23:48:31,358 - INFO - Advancing to waypoint 2
2025-03-08 23:48:31,358 - INFO - Following waypoints:
2025-03-09 23:32:20,311 - INFO - Starting from waypoint 1: 23.192414, 77.371005
2025-03-09 23:32:20,311 - INFO - GPS simulation started. Press Ctrl+C to stop.
2025-03-09 23:32:23,311 - INFO - Waypoint 2 reached
2025-03-09 23:32:25,311 - INFO - Waypoint 3 reached
2025-03-09 23:32:39,298 - INFO - Stopping simulation...
2025-03-09 23:32:39,312 - INFO - Simulation stopped
2025-03-09 23:35:03,863 - INFO - 
Virtual ports created!
Simulator using: /tmp/vgps1
Receiver should use: /tmp/vgps2

2025-03-09 23:35:03,863 - INFO - Connected to /tmp/vgps1
2025-03-09 23:35:03,863 - INFO - Waypoint 1 reached
2025-03-09 23:35:03,863 - INFO - Following 116 waypoints at 15.0 m/s
2025-03-09 23:35:03,864 - INFO - Starting from waypoint 1: 23.192414, 77.371005
2025-03-09 23:35:03,864 - INFO - GPS simulation started. Press Ctrl+C to stop.
2025-03-09 23:35:05,863 - INFO - Waypoint 2 reached
2025-03-09 23:35:07,864 - INFO - Waypoint 3 reached
2025-03-09 23:35:10,887 - INFO - Stopping simulation...
2025-03-09 23:35:11,864 - INFO - Simulation stopped
2025-03-09 23:36:16,071 - INFO - 
Virtual ports created!
Simulator using: /tmp/vgps1
Receiver should use: /tmp/vgps2

2025-03-09 23:36:16,079 - INFO - Connected to /tmp/vgps1
2025-03-09 23:36:16,079 - INFO - Waypoint 1 reached
2025-03-09 23:36:16,079 - INFO - Following 116 waypoints at 15.0 m/s
2025-03-09 23:36:16,079 - INFO - Starting from waypoint 1: 23.192414, 77.371005
2025-03-09 23:36:16,079 - INFO - GPS simulation started. Press Ctrl+C to stop.
2025-03-09 23:36:18,079 - INFO - Waypoint 2 reached
2025-03-09 23:36:20,079 - INFO - Waypoint 3 reached
2025-03-09 23:36:28,080 - INFO - Waypoint 4 reached
2025-03-09 23:36:35,081 - INFO - Waypoint 5 reached
2025-03-09 23:36:53,082 - INFO - Waypoint 6 reached
2025-03-09 23:37:03,083 - INFO - Waypoint 7 reached
2025-03-09 23:37:14,084 - INFO - Waypoint 8 reached
2025-03-09 23:37:20,084 - INFO - Waypoint 9 reached
2025-03-09 23:37:30,085 - INFO - Waypoint 10 reached
2025-03-09 23:37:39,085 - INFO - Waypoint 11 reached
2025-03-09 23:37:43,086 - INFO - Waypoint 12 reached
2025-03-09 23:37:45,086 - INFO - Waypoint 13 reached
2025-03-09 23:37:51,086 - INFO - Waypoint 14 reached
2025-03-09 23:38:06,088 - INFO - Waypoint 15 reached
